Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3
Type,US / Metric,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,lbf / N,lbf / N,in.lb / Nm,Deg / Deg, / 
Mult,US,241016 09:05:26.953040,49.786639,14,69.2,54,1.133444,0.000416,-2.200134,-18.956978,-2.532017,-0.036777,0.025002
Mult,US,241016 09:05:27.052860,49.71847,14,69.2,54,1.130343,0.000765,-2.200717,-18.956932,-2.531668,-0.031519,0.025002
Mult,US,241016 09:05:27.152680,49.68803,14,69.2,54,1.128959,0.000679,-2.201489,-18.955859,-2.531919,-0.03046,0.025002
Mult,US,241016 09:05:27.252500,49.709405,14,69.2,54,1.12993,0.000397,-2.202646,-18.957523,-2.530292,-0.023312,0.025002
Mult,US,241016 09:05:27.352320,49.786759,14,69.2,54,1.13345,0.000063,-2.202839,-18.960745,-2.52925,-0.026986,0.025002
Mult,US,241016 09:05:27.452140,49.886149,14,69.2,54,1.13798,-0.000673,-2.203354,-18.963467,-2.527179,-0.033523,0.025002
Mult,US,241016 09:05:27.551960,49.972061,14,69.2,54,1.141903,-0.001459,-2.203178,-18.960729,-2.526479,-0.041489,0.025002
Mult,US,241016 09:05:27.651780,50.02236,14,69.2,54,1.144203,-0.001618,-2.202727,-18.955397,-2.526666,-0.040708,0.025002
Mult,US,241016 09:05:27.751600,50.041964,14,69.2,54,1.1451,-0.001159,-2.201245,-18.950098,-2.529486,-0.037422,0.025002
Mult,US,241016 09:05:27.851420,50.034947,14,69.2,54,1.144778,-0.000201,-2.199663,-18.94887,-2.534134,-0.038234,0.025002
Mult,US,241016 09:05:29.248900,49.830472,14,69.2,54,1.135441,0.00037,-2.203352,-18.956019,-2.530728,-0.05539,0.025002
Mult,US,241016 09:05:29.348720,49.809504,14,69.2,54,1.134486,0.000241,-2.203409,-18.953047,-2.530463,-0.05447,0.025002
Mult,US,241016 09:05:29.448540,49.774145,14,69.2,54,1.132875,-0.000217,-2.202793,-18.950685,-2.529515,-0.042558,0.025002
Mult,US,241016 09:05:29.548360,49.723962,14,69.2,54,1.130592,-0.000459,-2.202159,-18.9491,-2.529441,-0.025722,0.025002
Mult,US,241016 09:05:29.648180,49.699833,14,69.2,54,1.129495,-0.000827,-2.202037,-18.94909,-2.529941,-0.013486,0.025002
Mult,US,241016 09:05:29.748000,49.736136,14,69.2,54,1.131146,-0.000822,-2.201666,-18.951034,-2.531859,-0.012091,0.025002
Mult,US,241016 09:05:29.847820,49.844038,14,69.2,54,1.136059,-0.000559,-2.203359,-18.955749,-2.532587,-0.016272,0.025002
Mult,US,241016 09:05:29.947640,49.985816,14,69.2,54,1.142531,0.000193,-2.204338,-18.959081,-2.531156,-0.021704,0.025002
Mult,US,241016 09:05:30.047460,50.098611,14,69.2,54,1.147694,0.000351,-2.205151,-18.961384,-2.528244,-0.023157,0.025002
