Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3
Type,US / Metric,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,lbf / N,lbf / N,in.lb / Nm,Deg / Deg, / 
Mult,US,241014 10:25:35.923679,50.788605,14,16.4,56,1.315866,2.470035,0.007132,0.00746,0.012252,0.056967,0.025002
Mult,US,241014 10:25:36.023499,50.768727,14,16.4,56,1.314836,2.46964,0.00631,0.007601,0.012926,0.057431,0.025002
Mult,US,241014 10:25:36.123319,50.72452,14,16.4,56,1.312547,2.469428,0.005711,0.005338,0.014783,0.060393,0.025002
Mult,US,241014 10:25:36.223139,50.649246,14,16.4,56,1.308654,2.469311,0.00504,0.002967,0.016044,0.06514,0.025002
Mult,US,241014 10:25:36.322959,50.52949,14,16.4,56,1.302473,2.469181,0.005448,0.002294,0.015925,0.072998,0.025002
Mult,US,241014 10:25:36.422779,50.400054,14,16.4,56,1.295809,2.469329,0.005467,0.004551,0.014951,0.076516,0.025002
Mult,US,241014 10:25:36.522599,50.31503,14,16.4,56,1.291441,2.469338,0.005097,0.006339,0.014646,0.073849,0.025002
Mult,US,241014 10:25:36.622419,50.31615,14,16.4,56,1.291498,2.469565,0.004315,0.00535,0.014082,0.05967,0.025002
Mult,US,241014 10:25:36.722239,50.397632,14,16.4,56,1.295684,2.469726,0.004081,0.004284,0.01325,0.043065,0.025002
Mult,US,241014 10:25:36.822059,50.514465,14,16.4,56,1.301699,2.469932,0.005499,0.004222,0.011879,0.037841,0.025002
Mult,US,241014 10:25:39.117919,50.646969,14,16.4,56,1.308537,2.470124,0.009059,-0.000113,0.010909,0.032362,0.025002
Mult,US,241014 10:25:39.217739,50.606306,14,16.4,56,1.306436,2.470069,0.008926,0.00016,0.012738,0.038379,0.025002
Mult,US,241014 10:25:39.317559,50.549261,14,16.4,56,1.303493,2.470454,0.008689,0.001503,0.015043,0.03901,0.025002
Mult,US,241014 10:25:39.417379,50.507339,14,16.4,56,1.301332,2.470864,0.009079,0.004659,0.015546,0.030275,0.025002
Mult,US,241014 10:25:39.517199,50.509233,14,16.4,56,1.301429,2.470783,0.010262,0.008792,0.013695,0.031594,0.025002
Mult,US,241014 10:25:39.617019,50.55225,14,16.4,56,1.303647,2.470144,0.010421,0.010162,0.012354,0.034557,0.025002
Mult,US,241014 10:25:39.716839,50.586769,14,16.4,56,1.305428,2.469437,0.009571,0.009201,0.011738,0.042081,0.025002
Mult,US,241014 10:25:39.816659,50.546809,14,16.4,56,1.303366,2.469211,0.008854,0.007593,0.011698,0.04341,0.025002
Mult,US,241014 10:25:39.916479,50.401062,14,16.4,56,1.295861,2.469185,0.008343,0.006477,0.01066,0.047787,0.025002
Mult,US,241014 10:25:40.016299,50.185642,14,16.4,56,1.284807,2.469047,0.00916,0.006873,0.010088,0.056107,0.025002
Mult,US,241014 10:25:41.912879,50.500276,14,16.4,56,1.300968,2.470196,0.009633,0.00468,0.012564,0.059741,0.025002
Mult,US,241014 10:25:42.012699,50.487274,14,16.4,56,1.300298,2.470023,0.00934,0.006857,0.012107,0.052048,0.025002
Mult,US,241014 10:25:42.112519,50.51669,14,16.4,56,1.301813,2.470143,0.008783,0.008973,0.011803,0.043259,0.025002
Mult,US,241014 10:25:42.212339,50.573313,14,16.4,56,1.304733,2.470041,0.008332,0.010018,0.01202,0.033644,0.025002
Mult,US,241014 10:25:42.312159,50.645859,14,16.4,56,1.308479,2.470189,0.009117,0.01123,0.011769,0.026214,0.025002
Mult,US,241014 10:25:42.411979,50.728956,14,16.4,56,1.312777,2.47042,0.010242,0.012042,0.010959,0.022889,0.025002
Mult,US,241014 10:25:42.511799,50.820895,14,16.4,56,1.317539,2.470589,0.01123,0.012216,0.009613,0.02958,0.025002
Mult,US,241014 10:25:42.611619,50.896779,14,16.4,56,1.321477,2.470559,0.0106,0.011725,0.008913,0.039803,0.025002
Mult,US,241014 10:25:42.711439,50.925844,14,16.4,56,1.322987,2.470188,0.00967,0.01261,0.008486,0.052562,0.025002
Mult,US,241014 10:25:42.811259,50.893865,14,16.4,56,1.321326,2.47025,0.009337,0.014768,0.008875,0.050973,0.025002
Mult,US,241014 10:25:45.007299,50.8629,14,16.4,56,1.319718,2.470104,0.008616,0.001304,0.011967,0.028147,0.025002
Mult,US,241014 10:25:45.107119,50.834843,14,16.4,56,1.318263,2.470027,0.008071,0.001008,0.011838,0.037156,0.025002
Mult,US,241014 10:25:45.206939,50.804988,14,16.4,56,1.316715,2.470118,0.007803,-0.000577,0.013472,0.045439,0.025002
Mult,US,241014 10:25:45.306759,50.785013,14,16.4,56,1.31568,2.470392,0.008125,-0.002106,0.014448,0.037031,0.025002
Mult,US,241014 10:25:45.406579,50.785318,14,16.4,56,1.315695,2.470499,0.010944,-0.000311,0.014454,0.024551,0.025002
Mult,US,241014 10:25:45.506399,50.792788,14,16.4,56,1.316082,2.470526,0.013456,0.003538,0.014145,0.015057,0.025002
Mult,US,241014 10:25:45.606219,50.809555,14,16.4,56,1.316951,2.470184,0.015046,0.010757,0.014506,0.027602,0.025002
Mult,US,241014 10:25:45.706039,50.822605,14,16.4,56,1.317628,2.469995,0.014169,0.014692,0.014865,0.03656,0.025002
Mult,US,241014 10:25:45.805859,50.830029,14,16.4,56,1.318013,2.469935,0.012671,0.015544,0.014592,0.033663,0.025002
Mult,US,241014 10:25:45.905679,50.826231,14,16.4,56,1.317816,2.469915,0.010989,0.012965,0.012631,0.021002,0.025002
Mult,US,241014 10:25:47.502799,50.946002,14,16.4,56,1.324034,2.470083,0.014539,0.009659,0.00901,0.023269,0.025002
Mult,US,241014 10:25:47.602619,50.892492,14,16.4,56,1.321254,2.470003,0.014026,0.010172,0.009589,0.031669,0.025002
Mult,US,241014 10:25:47.702439,50.841968,14,16.4,56,1.318632,2.469945,0.013083,0.009688,0.008812,0.042262,0.025002
Mult,US,241014 10:25:47.802259,50.830646,14,16.4,56,1.318045,2.470263,0.011416,0.00641,0.008731,0.046837,0.025002
Mult,US,241014 10:25:47.902079,50.876434,14,16.4,56,1.320421,2.470621,0.011316,0.002364,0.00862,0.055338,0.025002
Mult,US,241014 10:25:48.001899,50.957214,14,16.4,56,1.324617,2.470653,0.011309,-0.00201,0.01,0.060801,0.025002
Mult,US,241014 10:25:48.101719,51.018306,14,16.4,56,1.327795,2.470547,0.011739,-0.002463,0.009955,0.063758,0.025002
Mult,US,241014 10:25:48.201539,51.032632,14,16.4,56,1.328541,2.470307,0.012193,-0.000597,0.008887,0.061926,0.025002
Mult,US,241014 10:25:48.301359,50.995277,14,16.4,56,1.326597,2.470381,0.013111,0.004206,0.006999,0.061282,0.025002
Mult,US,241014 10:25:48.401179,50.933844,14,16.4,56,1.323402,2.470426,0.013474,0.007227,0.006169,0.062052,0.025002
Mult,US,241014 10:25:49.898479,50.63568,14,16.4,56,1.307953,2.469941,0.012994,0.003826,0.010888,0.045629,0.025002
Mult,US,241014 10:25:49.998299,50.613294,14,16.4,56,1.306797,2.469487,0.015183,0.007965,0.010748,0.054502,0.025002
Mult,US,241014 10:25:50.098119,50.589058,14,16.4,56,1.305546,2.469245,0.014693,0.010112,0.012843,0.061403,0.025002
