STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT07,WT08
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/1/2019,4.3,,0,0,0,,12.8,5.6,30,350,9.8,15.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/2/2019,3.6,,0,0,0,,17.2,3.9,20,10,8.1,13.4,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/3/2019,1.7,,0,0,0,,20.6,2.8,40,30,4.5,5.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/4/2019,1.8,,0,0,0,,20.6,1.7,280,270,4,5.8,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/5/2019,1.2,,4.8,,0,,13.3,6.1,90,90,4.5,5.4,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/6/2019,1.4,,0.5,,0,,14.4,8.3,260,280,6.3,7.6,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/7/2019,0.5,,0,0,0,,16.1,8.9,120,140,5.4,7.2,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/8/2019,1.8,,0,0,0,,22.8,8.3,250,40,4.5,6.3,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/9/2019,1.7,,0,0,0,,20.6,6.1,270,270,7.2,9.4,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/10/2019,1,,0,0,0,,19.4,6.1,270,270,4.5,7.6,1,,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/11/2019,1.1,,0,0,0,,20.6,6.1,280,270,4,4.9,1,1,,,1
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/12/2019,1.6,,9.7,,0,,13.9,7.8,260,270,7.6,9.8,1,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/13/2019,1.6,,0,0,0,,17.8,3.3,80,90,5.4,6.7,,,,,
USW00003171,"RIVERSIDE MUNICIPAL AIRPORT, CA US",1/14/2019,1.6,,8.9,,0,,13.3,8.3,120,120,5.8,8.5,1,,,,
