Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,cDAQ1Mod1/ai3
Type,US / Metric,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,lbf / N,lbf / N,in.lb / Nm,Deg / Deg, / 
Mult,US,241016 08:52:07.794120,50.357299,14,69.2,54,1.159577,-0.000592,-2.200444,-18.929324,-2.539739,0.01516,0.025002
Mult,US,241016 08:52:07.893940,50.364737,14,69.2,54,1.159919,-0.000943,-2.198831,-18.923491,-2.536099,0.019506,0.025002
Mult,US,241016 08:52:07.993760,50.396529,14,69.2,54,1.161384,-0.001108,-2.19807,-18.91885,-2.533795,0.014033,0.025002
Mult,US,241016 08:52:08.093580,50.439927,14,69.2,54,1.163385,-0.000941,-2.198836,-18.917624,-2.530927,0.008226,0.025002
Mult,US,241016 08:52:08.193400,50.488009,14,69.2,54,1.165604,-0.000543,-2.198392,-18.916729,-2.530918,0.001245,0.025002
Mult,US,241016 08:52:08.293220,50.547183,14,69.2,54,1.168338,0.000068,-2.197678,-18.915236,-2.530183,0.003724,0.025002
Mult,US,241016 08:52:08.393040,50.605474,14,69.2,54,1.171034,0.000369,-2.195315,-18.910177,-2.530361,0.008249,0.025002
Mult,US,241016 08:52:08.492860,50.657044,14,69.2,54,1.173422,0.000291,-2.194015,-18.9068,-2.534185,0.019146,0.025002
Mult,US,241016 08:52:08.592680,50.700277,14,69.2,54,1.175426,-0.000191,-2.192629,-18.904448,-2.537981,0.023871,0.025002
Mult,US,241016 08:52:08.692500,50.731768,14,69.2,54,1.176886,-0.000625,-2.192978,-18.907972,-2.53928,0.026919,0.025002
Mult,US,241016 08:52:10.189800,50.499632,14,69.2,54,1.166141,-0.000356,-2.185451,-18.915012,-2.527843,0.030205,0.025002
Mult,US,241016 08:52:10.289620,50.469163,14,69.2,54,1.164734,-0.000862,-2.184063,-18.920714,-2.528619,0.044223,0.025002
Mult,US,241016 08:52:10.389440,50.449308,14,69.2,54,1.163818,-0.00133,-2.185818,-18.925093,-2.530572,0.044693,0.025002
Mult,US,241016 08:52:10.489260,50.448579,14,69.2,54,1.163784,-0.001768,-2.189321,-18.9249,-2.536158,0.03396,0.025002
Mult,US,241016 08:52:10.589080,50.49644,14,69.2,54,1.165993,-0.001224,-2.193916,-18.92254,-2.543808,0.011928,0.025002
Mult,US,241016 08:52:10.688900,50.601358,14,69.2,54,1.170844,-0.000846,-2.19768,-18.918737,-2.548757,0.002891,0.025002
Mult,US,241016 08:52:10.788720,50.76767,14,69.2,54,1.178553,-0.000294,-2.198336,-18.914044,-2.54832,0.003988,0.025002
Mult,US,241016 08:52:10.888540,50.924597,14,69.2,54,1.18585,-0.000432,-2.198803,-18.908799,-2.541264,0.016228,0.025002
Mult,US,241016 08:52:10.988360,50.990107,14,69.2,54,1.188903,-0.00037,-2.198366,-18.905624,-2.5357,0.023605,0.025002
Mult,US,241016 08:52:11.088180,50.916326,14,69.2,54,1.185465,-0.000049,-2.198204,-18.90705,-2.534223,0.021872,0.025002
Mult,US,241016 08:52:12.485660,50.205021,14,69.2,54,1.152574,-0.000667,-2.195419,-18.915071,-2.520592,0.013585,0.025002
Mult,US,241016 08:52:12.585480,50.183647,14,69.2,54,1.151593,-0.000532,-2.194712,-18.91233,-2.523651,0.019233,0.025002
Mult,US,241016 08:52:12.685300,50.183905,14,69.2,54,1.151605,-0.000259,-2.194638,-18.911026,-2.53054,0.0252,0.025002
Mult,US,241016 08:52:12.785120,50.197703,14,69.2,54,1.152238,0.000069,-2.196633,-18.909739,-2.538743,0.028227,0.025002
Mult,US,241016 08:52:12.884940,50.218953,14,69.2,54,1.153214,0.000009,-2.199676,-18.908979,-2.543712,0.022645,0.025002
Mult,US,241016 08:52:12.984760,50.248004,14,69.2,54,1.154549,-0.000165,-2.199752,-18.909271,-2.545958,0.017404,0.025002
Mult,US,241016 08:52:13.084580,50.271768,14,69.2,54,1.155641,-0.000202,-2.195757,-18.911669,-2.544641,0.013156,0.025002
Mult,US,241016 08:52:13.184400,50.280381,14,69.2,54,1.156037,-0.000067,-2.19055,-18.914499,-2.544874,0.012373,0.025002
Mult,US,241016 08:52:13.284220,50.268901,14,69.2,54,1.155509,0.000112,-2.188673,-18.916433,-2.542589,0.012815,0.025002
Mult,US,241016 08:52:13.384040,50.245844,14,69.2,54,1.154449,-0.000044,-2.190083,-18.914549,-2.539281,0.017104,0.025002
Mult,US,241016 08:52:14.781520,50.239935,14,69.2,54,1.154178,-0.000795,-2.199052,-18.923578,-2.537227,0.016312,0.025002
